name,team
Matt McLain,CIN
Matt Shaw,CHC
Kristian Campbell,BOS
Hyeseong Kim,LAD
Roman Anthony,BOS
Deyvison De Los Santos,MIA
Endy Rodriguez,PIT
Christian Moore,LAA
Zac Veen,COL
Jordan Lawlar,ARI
Chase Meidroth,CWS
Enrique Hernandez,LAD
Colson Montgomery,CWS
Caleb Durbin,MIL
Tirso Ornelas,SD
Cam Smith,HOU
Alan Roden,TOR
Agustin Ramirez,MIA
Juan Brito,CLE
Drake Baldwin,ATL
Kyle Teel,CWS
Edgar Quero,CWS
Jacob Melton,HOU
Everson Pereira,NYY
Max Acosta,MIA
Jake Mangum,TB
Chandler Simpson,TB
Gage Workman,CHC
Colby Thomas,ATH
Chase DeLauter,CLE
Luke Keaschall,MIN
Cole Young,SEA
Liam Hicks,MIA
J.C. Escarra,NYY
Marcelo Mayer,BOS
Dalton Rushing,LAD
Bryce Eldridge,SF
Travis Bazzana,CLE
Emmanuel Rodriguez,MIN
Robert Hassell III,WSH
Victor Mesa Jr.,MIA
Drew Avans,ATH
Wade Meckler,SF
Owen Caissie,CHC
Wander Franco,TB
Carson Williams,TB
Samuel Basallo,BAL
Brady House,WSH
Alejo Lopez,ATH
Scott Kingery,LAA
Jac Caglianone,KC
Jared Serna,MIA
Tsung-Che Cheng,PIT
Luis Guillorme,
Spencer Jones,NYY
James Triantos,CHC
Oscar Gonzalez,SD
Jakob Marsee,MIA
Trey Mancini,ARI
Matt Koperniak,STL
Denzel Clarke,ATH
Rodolfo Castro,PHI
Moises Ballesteros,CHC
Nick Kurtz,ATH
Jordan Diaz,FA
Jorbit Vivas,NYY
Dylan Beavers,BAL
Tyler Callihan,CIN
Harry Ford,SEA
Tim Tawa,ARI
Hao-Yu Lee,DET
Tim Elko,CWS
Enrique Bradfield Jr.,BAL
Jose Barrero,STL
Matthew Lugo,LAA
Otto Kemp,PHI
Michael Chavis,LAD
Cooper Bowman,ATH
Nick Solak,PIT
Jose Ramos,LAD
Alex Ramirez,NYM
Oscar Mercado,PHI
Andrew Navigato,DET
Hayden Senger,NYM
Tucker Flint,LAA
Logan Davidson,ATH
Stone Garrett,WSH
Jorge Alfaro,MIL
Max Stassi,SF
Blaine Crim,TEX
Tre' Morgan,TB
Alex Freeland,LAD
Harold Castro,KC
Yunior Severino,MIN
Jeferson Quero,MIL
Heriberto Hernandez,MIA
Cooper Ingle,CLE
Nate Eaton,BOS
Elijah Dunham,NYY
Cal Mitchell,CWS
Jake Lamb,SF
Nathan Church,STL
George Valera,CLE
A.J. Vukovich,ARI
Wilfred Veras,CWS
Braxton Fulford,COL
Gino Groover,ARI
Josh Kasevich,TOR
Carter Kieboom,LAA
Jimmy Herron,MIL
Brennan Milone,ATH
Dru Baker,TB
Justin Crawford,PHI
Rhylan Thomas,SEA
Dustin Harris,TEX
Trayce Thompson,BOS
Jhostynxon Garcia,BOS
John Rave,KC
Connor Kaiser,ARI
Jose Rodriguez,PHI
Bryan Torres,STL
Darick Hall,PIT
Andrew Velazquez,NYY
Yanquiel Fernandez,COL
Ronny Simon,MIA
Cesar Prieto,STL
Tucupita Marcano,SD
Andrew Pinckney,WSH
Christian Arroyo,PHI
Vimael Machin,BAL
Jud Fabian,BAL
Rafael Flores,NYY
Kenny Piper,TB
Will Wilson,CLE
Brett Bateman,CHC
Carlos Mendoza,DET
Osleivis Basabe,SF
Francisco Urbaez,CIN
Warming Bernabel,COL
Drew Gilbert,NYM
Rodolfo Duran,SD
Pablo Aliendo,CHC
Jesus Bastidas,HOU
Paul McIntosh,PHI
Charles McAdoo,TOR
Christian Cairo,CLE
Ryan Ritter,COL
Jeron Williams,HOU
Tristin English,ARI
Yonathan Perlaza,SD
Jordan Groshans,KC
Eddys Leonard,DET
Troy Johnston,MIA
Rafael Lantigua,PHI
Yeiner Fernandez,LAD
Mike Boeve,MIL
Brock Wilken,MIL
Diego Cartaya,MIN
Wyatt Young,NYM
Austin Gauthier,LAD
Clay Dungan,SD
Bryan Lavastida,HOU
Christian Franklin,CHC
Terrell Tatum,CWS
Nelson Rada,LAA
Kevin Kiermaier,
Jimmy Crooks III,STL
Javier Vaz,KC
Sergio Alcantara,SF
Peyton Wilson,KC
Eliezer Alfonzo,DET
Jeferson Morales,MIN
Kody Huff,CLE
Chris Williams,NYM
Mike Brosseau,SD
Taylor Young,LAD
Andre Lipcius,CWS
Jonathon Long,CHC
Ryan Fitzgerald,MIN
Christian Cerda,ARI
Termarr Johnson,PIT
Anthony Prato,MIN
Ramon Rodriguez,MIL
RJ Schreck,TOR
Caleb Knight,CHC
Albert Almora Jr.,MIA
P.J. Higgins,CIN
Noah Mendlinger,STL
Justice Bigbie,DET
Daniel Susac,ATH
Phil Clarke,TOR
Petey Halpin,CLE
Cam Devanney,KC
Payton Eeles,MIN
Jett Williams,NYM
Kody Hoese,LAD
Brandon Crawford,
Francisco Mejia,FA
Thayron Liranzo,DET
Marcus Lee Sang,PHI
Carter Jensen,KC
Luke Waddell,ATL
Leonardo Bernal,STL
Miguel Palma,HOU
Jake Rucker,MIN
Jacob Berry,MIA
Tanner Schobel,MIN
Michael Turner,CWS
