name,team
Roki Sasaki,LAD
Shane McClanahan,TB
Brandon Woodruff,MIL
Sandy Alcantara,MIA
Felix Bautista,BAL
Nestor Cortes Jr.,MIL
Liam Hendriks,BOS
Dustin May,LAD
Eury Perez,MIA
Luis L. Ortiz,CLE
Quinn Mathews,STL
Tomoyuki Sugano,BAL
Tony Gonsolin,LAD
Matt Brash,SEA
Louis Varland,MIN
Andrew Painter,PHI
Craig Yoho,MIL
Cade Cavalli,WSH
Kyle Wright,KC
Kyle Hart,SD
Nic Enright,CLE
Shane Smith,CWS
Bubba Chandler,PIT
Evan Reifert,TB
Trevor Stephan,CLE
Penn Murfee,CWS
Kendall Graveman,ARI
JT Brubaker,NYY
Sawyer Gipson-Long,DET
Daniel Lynch,KC
Ian Anderson,LAA
Brent Headrick,NYY
Noah Schultz,CWS
Lou Trivino,SF
Noah Cameron,KC
Dauri Moreta,PIT
Robert Stephenson,LAA
Johan Oviedo,PIT
Michael Fulmer,BOS
Brandon Young,BAL
Carlos Vargas,SEA
Andrew Misiaszek,CLE
Logan Henderson,MIL
Omar Cruz,SD
Jack Dreyer,LAD
Ian Seymour,TB
Connor Thomas,MIL
Logan VanWey,HOU
Anthony DeSclafani,FA
Domingo Gonzalez,ATL
Gunnar Hoglund,ATH
Drey Jameson,ARI
Evan Sisk,KC
Braxton Ashcraft,PIT
Hagen Danner,SEA
Josh Simpson,MIA
Eiberson Castellano,MIN
Jack Dashwood,LAA
Chase Lee,DET
James Karinchak,CWS
Franco Aleman,CLE
Luarbert Arias,MIA
Chad Patrick,MIL
Carson Ragsdale,SF
Skylar Hales,TEX
Jacob Misiorowski,MIL
Emmet Sheehan,LAD
Mike Vasil,CWS
Mason Thompson,WSH
Ryan Gusto,HOU
Keynan Middleton,FA
Carson Whisenhunt,SF
Mason Fluharty,TOR
Brandyn Garcia,SEA
Tyler Owens,DET
Yerry De Los Santos,NYY
Zach Maxwell,CIN
Kyle Amendt,ARI
Colton Gordon,HOU
Carson Seymour,SF
Luis Gonzalez,BAL
Zach Agnos,COL
Joe Rock,TB
Shinnosuke Ogasawara,WSH
Trevor Gott,SEA
Garrett McDaniels,LAA
Devin Sweet,PHI
Chase Dollander,COL
Luis Curvelo,TEX
Matt Gage,DET
Tyler Mattison,DET
Cody Stashak,FA
Hayden Harris,ATL
