Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
1,Aaron Judge,32,NYY,AL,8.4,121,542,430,96,143,28,1,44,111,6,0,102,132,.333,.466,.709,1.175,223,.488,224,305,16,7,0,2,14,8D/97,AS,judgeaa01
2,Shohei Ohtani,29,LAD,NL,5.9,120,550,475,91,138,29,5,37,86,35,4,66,123,.291,.378,.606,.984,173,.425,172,288,6,3,0,4,8,D,AS,ohtansh01
3,Anthony Santander,29,BAL,AL,2.8,118,506,455,74,110,20,2,36,80,2,0,40,98,.242,.310,.532,.842,138,.357,136,242,6,7,0,4,0,9D/H,AS,santaan02
4,Marcell Ozuna,33,ATL,NL,3.8,122,519,460,75,139,23,0,35,90,0,0,52,130,.302,.374,.580,.954,160,.404,159,267,17,3,0,4,1,D,AS,ozunama01
5,Juan Soto,25,NYY,AL,7.4,119,548,439,103,134,24,4,34,87,5,2,103,82,.305,.436,.610,1.047,189,.442,189,268,7,2,0,4,1,9/7D,AS,sotoju01
6,José Ramírez,31,CLE,AL,4.6,119,514,470,92,132,27,1,32,100,27,3,39,64,.281,.335,.547,.881,142,.377,137,257,6,1,0,4,9,5D,AS,ramirjo01
7,Gunnar Henderson,23,BAL,AL,7.4,121,551,481,96,138,23,6,31,74,14,2,62,123,.287,.374,.553,.927,164,.398,163,266,2,6,0,2,1,6/D,AS,hendegu01
8,Ketel Marte,30,ARI,NL,6.0,114,496,433,81,129,20,2,30,81,6,1,51,89,.298,.369,.561,.930,157,.396,156,243,8,3,0,9,6,4D/H6,AS,marteke01
9,Brent Rooker,29,OAK,AL,4.0,105,436,386,61,113,21,2,29,83,7,1,43,129,.293,.367,.583,.950,168,.405,168,225,3,4,0,3,2,D/79H,0,rookebr01
10,Kyle Schwarber,31,PHI,NL,3.0,111,518,419,84,105,14,0,28,78,5,3,88,141,.251,.380,.484,.865,142,.374,142,203,3,4,0,7,4,D/7H,0,schwaky01
11,Pete Alonso,29,NYM,NL,2.1,122,528,466,70,113,27,0,26,68,3,0,52,122,.242,.328,.468,.795,125,.343,123,218,13,8,0,2,4,3/DH,AS,alonspe01
12,Rafael Devers,27,BOS,AL,4.3,108,475,413,78,123,32,5,26,75,2,0,55,112,.298,.379,.588,.967,162,.402,159,243,10,2,0,5,13,5/D,AS,deverra01
13,Bryce Harper,31,PHI,NL,3.6,107,472,409,67,115,27,0,26,73,5,4,61,100,.281,.373,.538,.911,153,.384,151,220,13,0,0,2,10,3/D,AS,harpebr03
