1,Aaron Judge,32,NYY,AL,judgeaa01
2,Shohei Ohtani,29,LAD,NL,ohtansh01
3,Anthony Santander,29,BAL,AL,santaan02
4,Marcell Ozuna,33,ATL,NL,ozunama01
5,Juan Soto,25,NYY,AL,sotoju01
6,José Ramírez,31,CLE,AL,ramirjo01
7,Gunnar Henderson,23,BAL,AL,hendegu01
8,Ketel Marte,30,ARI,NL,marteke01
9,Brent Rooker,29,OAK,AL,rookebr01
10,Kyle Schwarber,31,PHI,NL,schwaky01
11,Pete Alonso,29,NYM,NL,alonspe01
12,Rafael Devers,27,BOS,AL,deverra01
13,Bryce Harper,31,PHI,NL,harpebr03
14,Teoscar Hernández,31,LAD,NL,hernate01
15,Josh Naylor,27,CLE,AL,naylojo01
16,Cal Raleigh,27,SEA,AL,raleica01
17,Corey Seager,30,TEX,AL,seageco01
18,Yordan Alvarez,27,HOU,AL,alvaryo01
19,Vladimir Guerrero Jr.,25,TOR,AL,guerrvl02
20,Bobby Witt Jr.,24,KCR,AL,wittbo02
21,Jake Burger,28,MIA,NL,burgeja01
22,Francisco Lindor,30,NYM,NL,lindofr01
23,Christian Walker,33,ARI,NL,walkech02
24,Willy Adames,28,MIL,NL,adamewi01
25,Shea Langeliers,26,OAK,AL,langesh01
26,Tyler O'Neill,29,BOS,AL,oneilty01
27,Salvador Perez,34,KCR,AL,perezsa02
28,Elly De La Cruz,22,CIN,NL,delacel01
29,Ian Happ,29,CHC,NL,happia01
30,Matt Olson,30,ATL,NL,olsonma02
31,Alec Burleson,25,STL,NL,burleal01
32,Brenton Doyle,26,COL,NL,doylebr02
33,Adolis García,31,TEX,AL,garciad02
34,Rhys Hoskins,31,MIL,NL,hoskirh01
35,Giancarlo Stanton,34,NYY,AL,stantmi03
38,Paul DeJong,30,KCR,AL,dejonpa01
41,Christopher Morel,25,TBR,AL,morelch01
44,Jazz Chisholm Jr.,26,NYY,AL,chishja01
45,Alex Bregman,30,HOU,AL,bregmal01
46,Jeimer Candelario,30,CIN,NL,candeje01
47,Matt Chapman,31,SFG,NL,chapmma01
48,Paul Goldschmidt,36,STL,NL,goldspa01
49,Nolan Gorman,24,STL,NL,gormano01
50,Joc Pederson,32,ARI,NL,pederjo01
51,Jurickson Profar,31,SDP,NL,profaju01
52,Bryan Reynolds,29,PIT,NL,reynobr01
53,Austin Riley,27,ATL,NL,rileyau01
54,Michael Toglia,25,COL,NL,toglimi01
55,Ezequiel Tovar,22,COL,NL,tovarez01
56,Kyle Tucker,27,HOU,AL,tuckeky01
57,Mark Vientos,24,NYM,NL,vientma01
58,Jo Adell,25,LAA,AL,adelljo01
59,Colton Cowser,24,BAL,AL,cowseco01
60,Oneil Cruz,25,PIT,NL,cruzon01
63,Bryan De La Cruz,27,PIT,NL,delacbr01
64,Ryan Jeffers,27,MIN,AL,jeffery01
65,Manny Machado,31,SDP,NL,machama01
66,Vinnie Pasquantino,26,KCR,AL,pasquvi01
67,Marcus Semien,33,TEX,AL,semiema01
68,Spencer Steer,26,CIN,NL,steersp01
69,Eugenio Suárez,32,ARI,NL,suareeu01
70,Jordan Westburg,25,BAL,AL,westbjo01
73,Josh Bell,31,ARI,NL,belljo02
76,Isaac Paredes,25,CHC,NL,paredis01
77,CJ Abrams,23,WSN,NL,abramcj01
78,Freddie Freeman,34,LAD,NL,freemfr01
79,Riley Greene,23,DET,AL,greenri03
80,Jackson Merrill,21,SDP,NL,merrija01
81,Zach Neto,23,LAA,AL,netoza01
82,Brandon Nimmo,31,NYM,NL,nimmobr01
83,Logan O'Hoppe,24,LAA,AL,ohopplo01
84,Heliot Ramos,24,SFG,NL,ramoshe02
85,Adley Rutschman,26,BAL,AL,rutscad01
86,Carlos Santana,38,MIN,AL,santaca01
87,Michael Busch,26,CHC,NL,buschmi02
88,Byron Buxton,30,MIN,AL,buxtoby01
89,Nick Castellanos,32,PHI,NL,casteni01
90,William Contreras,26,MIL,NL,contrwi02
91,Andrew McCutchen,37,PIT,NL,mccutan01
92,Ryan McMahon,29,COL,NL,mcmahry01
93,Will Smith,29,LAD,NL,smithwi05
94,Tyler Stephenson,27,CIN,NL,stephty01
