Andrew Abbott*,CIN,abbotan01
Bryan Abreu,HOU,abreubr01
Jason Adam,TOT,adamja01
Jason Adam,TBR,adamja01
Jason Adam,SDP,adamja01
Austin Adams,OAK,adamsau02
Ty Adcock,NYM,adcocty01
Joan Adon,WSN,adonjo01
Keegan Akin*,BAL,akinke01
Jorge Alcalá,MIN,alcaljo01
Scott Alexander*,OAK,alexasc02
Tyler Alexander*,TBR,alexaty01
Kolby Allard*,PHI,allarko01
Logan Allen*,ARI,allenlo01
Logan Allen*,CLE,allenlo02
Yency Almonte,CHC,almonye01
Dan Altavilla,KCR,altavda01
José Alvarado*,PHI,alvarjo03
Adbert Alzolay,CHC,alzolad01
Chase Anderson,BOS,anderch01
Grant Anderson,TEX,andergr01
Justin Anderson,CHW,anderju01
Nick Anderson,KCR,anderni01
Shaun Anderson,TOT,andersh01
Shaun Anderson,TEX,andersh01
Shaun Anderson,MIA,andersh01
Tyler Anderson*,LAA,anderty01
Clayton Andrews*,NYY,andrecl02
Matt Andriese,MIA,andrima01
Tejay Antone,CIN,antonte01
Shawn Armstrong,TOT,armstsh01
Shawn Armstrong,TBR,armstsh01
Shawn Armstrong,STL,armstsh01
Spencer Arrighetti,HOU,arrigsp01
Aaron Ashby*,MIL,ashbyaa01
Graham Ashcraft,CIN,ashcrgr01
Javier Assad,CHC,assadja01
Nick Avila,SFG,avilani01
Pedro Avila,TOT,avilape01
Pedro Avila,SDP,avilape01
Pedro Avila,CLE,avilape01
Bryan Baker,BAL,bakerbr01
Anthony Banda*,LAD,bandaan01
Tanner Banks*,TOT,banksta01
Tanner Banks*,CHW,banksta01
Tanner Banks*,PHI,banksta01
Scott Barlow,CLE,barlosc01
Jacob Barnes,WSN,barneja01
Matt Barnes,WSN,barnema01
Tucker Barnhart,ARI,barnhtu01
Chris Bassitt,TOR,bassich01
Brady Basso*,OAK,bassobr01
Jake Bauers*,MIL,bauerja01
Mike Baumann,TOT,baumami01
Mike Baumann,TOT,baumami01
Mike Baumann,BAL,baumami01
Mike Baumann,SEA,baumami01
Mike Baumann,SFG,baumami01
Mike Baumann,LAA,baumami01
Shane Baz,TBR,bazsh01
