
Rk	Name	Age	Tm	W	L	W-L%	ERA	G	GS
▼	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	FIP	WHIP	H9	HR9	BB9	SO9	SO/W
1	Dylan Cease	28	SDP	11	9	.550	3.41	25	25	0	1	1	0	142.2	99	60	54	16	45	0	181	2	0	8	567	119	3.09	1.009	6.2	1.0	2.8	11.4	4.02
2	Jake Irvin	27	WSN	9	10	.474	3.72	25	25	0	0	0	0	145.0	130	65	60	21	34	1	122	3	1	3	587	107	4.14	1.131	8.1	1.3	2.1	7.6	3.59
3	Logan Webb	27	SFG	10	8	.556	3.32	25	25	0	1	1	0	157.0	156	61	58	7	40	3	133	2	1	2	648	117	2.86	1.248	8.9	0.4	2.3	7.6	3.33
4	Andrew Abbott*	25	CIN	10	9	.526	3.59	24	24	0	0	0	0	133.0	121	56	53	24	51	0	110	2	0	4	564	119	5.06	1.293	8.2	1.6	3.5	7.4	2.16
5	Patrick Corbin*	34	WSN	2	12	.143	5.98	24	24	0	0	0	0	131.0	161	92	87	19	43	1	97	2	0	2	577	67	4.61	1.557	11.1	1.3	3.0	6.7	2.26
6	MacKenzie Gore*	25	WSN	7	10	.412	4.50	24	24	0	0	0	0	120.0	136	75	60	11	52	0	130	8	0	10	545	89	3.70	1.567	10.2	0.8	3.9	9.8	2.50
7	Hunter Greene	24	CIN	9	4	.692	2.83	24	24	0	0	0	0	143.1	93	46	45	11	53	0	162	19	1	7	583	151	3.42	1.019	5.8	0.7	3.3	10.2	3.06
8	Mitch Keller	28	PIT	10	7	.588	3.95	24	24	0	1	0	0	141.1	137	66	62	17	40	0	125	12	1	1	605	104	4.08	1.252	8.7	1.1	2.5	8.0	3.13
9	Miles Mikolas	35	STL	8	9	.471	5.30	24	24	0	0	0	0	132.1	149	79	78	18	22	0	89	3	1	0	554	80	4.17	1.292	10.1	1.2	1.5	6.1	4.05
10	Aaron Nola	31	PHI	11	6	.647	3.60	24	24	0	1	1	0	147.1	132	63	59	22	37	0	138	2	0	2	598	113	4.04	1.147	8.1	1.3	2.3	8.4	3.73
11	Freddy Peralta	28	MIL	7	7	.500	4.11	24	24	0	0	0	0	131.1	111	63	60	21	49	0	159	8	1	7	552	102	4.14	1.218	7.6	1.4	3.4	10.9	3.24
12	Brandon Pfaadt	25	ARI	7	6	.538	3.98	24	24	0	0	0	0	144.2	132	68	64	17	29	1	135	2	0	1	587	103	3.48	1.113	8.2	1.1	1.8	8.4	4.66
13	Matt Waldron	27	SDP	7	9	.438	4.00	24	24	0	0	0	0	132.2	116	62	59	16	38	0	121	8	1	3	549	102	3.96	1.161	7.9	1.1	2.6	8.2	3.18
14	Ryan Feltner	27	COL	1	10	.091	5.00	23	23	0	0	0	0	122.1	134	81	68	17	39	0	107	5	0	2	532	91	4.31	1.414	9.9	1.3	2.9	7.9	2.74
15	Kyle Gibson	36	STL	7	5	.583	4.26	23	23	0	0	0	0	131.0	126	67	62	18	50	0	121	3	0	5	554	99	4.33	1.344	8.7	1.2	3.4	8.3	2.42
16	Austin Gomber*	30	COL	3	8	.273	4.82	23	23	0	0	0	0	125.0	134	68	67	24	30	0	89	0	0	3	527	95	4.97	1.312	9.6	1.7	2.2	6.4	2.97
17	Michael King	29	SDP	10	6	.625	3.19	24	23	0	0	0	0	135.1	112	55	48	15	47	1	161	3	0	1	560	127	3.35	1.175	7.4	1.0	3.1	10.7	3.43
18	Sean Manaea*	32	NYM	8	5	.615	3.44	23	23	0	0	0	0	123.0	100	51	47	12	51	0	125	6	0	3	516	115	3.80	1.228	7.3	0.9	3.7	9.1	2.45
19	Cal Quantrill	29	COL	7	8	.467	4.56	23	23	0	0	0	0	122.1	124	63	62	17	48	0	92	10	1	6	529	100	4.90	1.406	9.1	1.3	3.5	6.8	1.92
20	Jose Quintana*	35	NYM	6	8	.429	4.10	23	23	0	0	0	0	125.0	110	58	57	19	46	0	102	10	0	4	531	96	4.87	1.248	7.9	1.4	3.3	7.3	2.22
21	Cristopher Sánchez*	27	PHI	8	8	.500	3.63	23	23	0	1	1	0	131.1	140	59	53	4	34	0	104	0	1	6	551	112	2.77	1.325	9.6	0.3	2.3	7.1	3.06
22	Luis Severino	30	NYM	7	6	.538	4.17	23	23	0	0	0	0	133.2	123	69	62	17	46	0	109	10	2	5	566	95	4.46	1.264	8.3	1.1	3.1	7.3	2.37
23	Zack Wheeler	34	PHI	11	5	.688	2.78	23	23	0	0	0	0	142.2	100	48	44	15	43	0	156	7	0	8	568	147	3.41	1.002	6.3	0.9	2.7	9.8	3.63
24	Javier Assad	26	CHC	5	3	.625	3.19	22	22	0	0	0	0	107.1	98	40	38	13	49	0	92	5	0	2	467	132	4.55	1.370	8.2	1.1	4.1	7.7	1.88
25	Tyler Glasnow	30	LAD	9	6	.600	3.49	22	22	0	0	0	0	134.0	92	53	52	15	35	0	168	0	1	12	522	114	2.91	0.948	6.2	1.0	2.4	11.3	4.80
26	Sonny Gray	34	STL	11	7	.611	3.93	22	22	0	0	0	0	130.2	110	65	57	17	31	0	162	2	1	6	526	108	3.15	1.079	7.6	1.2	2.1	11.2	5.23
27	Shota Imanaga*	30	CHC	9	2	.818	3.16	22	22	0	0	0	0	128.1	119	55	45	19	19	0	131	3	0	2	521	133	3.57	1.075	8.3	1.3	1.3	9.2	6.89
28	Frankie Montas	31	TOT	5	8	.385	4.86	22	22	0	0	0	0	107.1	109	65	58	16	48	0	96	5	0	3	478	88	4.81	1.463	9.1	1.3	4.0	8.0	2.00
29	Charlie Morton	40	ATL	6	7	.462	4.40	22	22	0	0	0	0	120.2	113	67	59	19	44	1	120	15	1	1	511	95	4.70	1.301	8.4	1.4	3.3	9.0	2.73
30	Chris Sale*	35	ATL	13	3	.813	2.61	22	22	0	0	0	0	134.2	101	40	39	8	30	0	177	6	1	3	531	161	2.12	0.973	6.8	0.5	2.0	11.8	5.90
31	Gavin Stone	25	LAD	10	5	.667	3.63	22	22	0	1	1	0	121.1	123	49	49	15	32	0	95	2	0	8	509	110	4.06	1.277	9.1	1.1	2.4	7.0	2.97
32	Kyle Harrison*	22	SFG	6	5	.545	4.14	21	21	0	0	0	0	111.0	109	53	51	16	36	0	103	7	1	2	471	94	4.36	1.306	8.8	1.3	2.9	8.4	2.86
33	Lance Lynn	37	STL	6	4	.600	4.06	21	21	0	0	0	0	106.1	104	62	48	15	41	0	97	4	0	3	467	104	4.46	1.364	8.8	1.3	3.5	8.2	2.37
34	Mitchell Parker*	24	WSN	6	6	.500	3.83	21	21	0	0	0	0	112.2	106	55	48	14	29	0	92	1	0	6	468	104	3.96	1.198	8.5	1.1	2.3	7.3	3.17
35	Trevor Rogers*	26	MIA	2	9	.182	4.53	21	21	0	0	0	0	105.1	115	58	53	12	46	2	85	3	1	1	472	98	4.44	1.528	9.8	1.0	3.9	7.3	1.85
36	Jameson Taillon	32	CHC	8	7	.533	3.62	21	21	0	0	0	0	121.2	120	56	49	17	24	0	96	0	1	4	502	116	4.01	1.184	8.9	1.3	1.8	7.1	4.00
37	Bailey Falter*	27	PIT	5	7	.417	4.07	20	20	0	0	0	0	101.2	95	48	46	13	31	0	67	0	0	0	414	101	4.44	1.239	8.4	1.2	2.7	5.9	2.16
38	Max Fried*	30	ATL	7	6	.538	3.56	20	20	0	2	1	0	116.1	102	50	46	10	42	0	110	4	0	3	485	118	3.59	1.238	7.9	0.8	3.2	8.5	2.62
39	Zac Gallen	28	ARI	9	5	.643	3.69	20	20	0	0	0	0	105.0	99	45	43	8	35	0	99	2	0	5	441	112	3.34	1.276	8.5	0.7	3.0	8.5	2.83
40	Jordan Hicks	27	SFG	4	7	.364	3.92	25	20	1	0	0	0	105.2	104	50	46	12	43	0	94	9	2	7	457	100	4.35	1.391	8.9	1.0	3.7	8.0	2.19
41	Ryne Nelson	26	ARI	8	6	.571	4.51	22	20	0	0	0	0	117.2	126	61	59	11	29	2	95	5	0	4	499	91	3.64	1.317	9.6	0.8	2.2	7.3	3.28
42	Colin Rea	33	MIL	10	4	.714	3.72	23	20	0	0	0	0	128.1	118	55	53	20	36	0	103	5	0	1	537	113	4.56	1.200	8.3	1.4	2.5	7.2	2.86
43	Ranger Suárez*	28	PHI	10	5	.667	2.87	20	20	0	1	1	0	119.1	100	43	38	9	27	1	116	5	2	1	481	142	3.02	1.064	7.5	0.7	2.0	8.7	4.30
44	LgAvg per 180 IP			10	10	.499	4.14	87	20	21	0	0	5	180	170	91	83	22	63	2	169	9	1	7	764	101	4.08	1.292	8.5	1.1	3.1	8.5	2.71
45	Nick Lodolo*	26	CIN	9	4	.692	3.99	19	19	0	0	0	0	108.1	91	49	48	12	32	0	111	16	0	1	455	107	3.90	1.135	7.6	1.0	2.7	9.2	3.47
46	Reynaldo López	30	ATL	7	4	.636	2.06	19	19	0	0	0	0	104.2	88	26	24	7	37	0	102	1	1	2	426	203	3.19	1.194	7.6	0.6	3.2	8.8	2.76
47	Martín Pérez*	33	TOT	3	5	.375	4.62	19	19	0	0	0	0	101.1	116	55	52	17	35	0	84	4	1	2	444	89	4.85	1.490	10.3	1.5	3.1	7.5	2.40
48	Justin Steele*	28	CHC	3	5	.375	3.16	19	19	0	1	0	0	114.0	95	48	40	10	31	0	112	4	0	1	472	133	3.27	1.105	7.5	0.8	2.4	8.8	3.61
49	Dakota Hudson	29	COL	2	12	.143	6.17	18	18	0	0	0	0	89.0	99	66	61	11	50	0	49	5	0	3	404	74	5.54	1.674	10.0	1.1	5.1	5.0	0.98
50	Jordan Montgomery*	31	ARI	8	6	.571	6.25	18	18	0	0	0	0	89.1	113	64	62	10	35	1	63	1	0	6	404	66	4.43	1.657	11.4	1.0	3.5	6.3	1.80
51	James Paxton*	35	LAD	8	2	.800	4.43	18	18	0	0	0	0	89.1	82	45	44	11	48	0	64	1	0	4	390	90	4.99	1.455	8.3	1.1	4.8	6.4	1.33
52	Tobias Myers	25	MIL	6	5	.545	2.79	18	17	0	0	0	0	93.2	77	30	29	13	24	0	84	5	3	3	375	151	4.12	1.078	7.4	1.2	2.3	8.1	3.50
53	Randy Vásquez	25	SDP	3	6	.333	4.63	17	17	0	0	0	0	81.2	101	45	42	12	22	0	53	4	2	5	355	88	4.74	1.506	11.1	1.3	2.4	5.8	2.41
