27,Jalen Beeks,30,PIT,beeksja02
39,Bradley Blalock,23,COL,blalobr01
46,Huascar Brazobán,34,NYM,brazohu01
51,Connor Brogdon,29,LAD,brogdco01
113,Dylan Floro,33,ARI,florody01
154,Elieser Hernández,29,MIL,hernael01
163,Bryan Hoeing,27,SDP,hoeinbr01
169,Brent Honeywell Jr.,29,LAD,honeybr01
182,Luke Jackson,32,ATL,jackslu01
188,Tyler Jay,30,NYM,jayty01
191,Daulton Jefferies,28,PIT,jeffeda01
197,Jakob Junis,31,CIN,junisja01
231,Jorge López,31,CHC,lopezjo02
256,Nick Mears,27,MIL,mearsni01
322,A.J. Puk*,29,ARI,pukaj01
331,Yohan Ramírez,29,BOS,ramiryo01
359,Eduardo Salazar,26,WSN,salazed01
369,Tanner Scott*,29,SDP,scottta01
405,Jesús Tinoco,29,MIA,tinocje01
419,Thyago Vieira,31,ARI,vieirth01
436,Mitch White,29,MIL,whitemi03
454,Alex Young*,30,NYM,youngal01
4,Keegan Akin*,29,BAL,akinke01
20,Bryan Baker,29,BAL,bakerbr01
41,Brandon Bielak,28,OAK,bielabr01
59,Kyle Bradish,27,BAL,bradiky01
68,Corbin Burnes,29,BAL,burneco01
76,Yennier Cano,30,BAL,canoye01
82,Andrew Chafin*,34,TEX,chafian01
99,Danny Coulombe*,34,BAL,couloda01
121,Zach Eflin,30,BAL,eflinza01
128,Lucas Erceg,29,KCR,erceglu01
137,Caleb Ferguson*,27,HOU,ferguca01
153,Luis García,37,BOS,garcilu03
156,Yimi García,33,SEA,garciyi01
178,Jonathan Heasley,27,BAL,heasljo01
184,Jonathan Hernández,27,SEA,hernajo02
190,Tim Hill*,34,NYY,hillti01
199,Cole Irvin*,30,BAL,irvinco01
208,Brad Keller,28,BOS,kellebr01
218,Craig Kimbrel,36,BAL,kimbrcr01
222,Will Klein,24,OAK,kleinwi01
230,Matt Krook*,29,BAL,krookma01
232,Joel Kuhnel,29,TBR,kuhnejo01
250,Michael Lorenzen,32,KCR,lorenmi01
254,Easton Lucas*,27,DET,lucasea01
275,James McCann,34,BAL,mccanja02
277,Chayce McDermott,25,BAL,mcderch01
281,John Means*,31,BAL,meansjo01
300,Vinny Nittoli,33,BAL,nittovi01
310,Wes Parsons,31,CLE,parsowe01
315,Walter Pennington*,26,TEX,penniwa01
320,Cionel Pérez*,28,BAL,perezci01
326,Cade Povich*,24,BAL,povicca01
339,Trevor Richards,31,MIN,richatr01
346,Grayson Rodriguez,24,BAL,rodrigr01
350,Yerry Rodríguez,26,TOR,rodriye01
404,Albert Suárez,34,BAL,suareal01
409,Dillon Tate,30,BAL,tatedi01
428,Nick Vespi*,28,BAL,vespini01
438,Jacob Webb,30,BAL,webbja01
440,Tyler Wells,29,BAL,wellsty01
